Record ID,Signal ID,Location Name,Operation State Previous,Operation State Datetime,Processed Datetime,Operation State,Plan ID,Primary St,Cross St,latitude,longitude,location,location_latitude,location_longitude
986_1562081285,986,12TH ST / CHESTNUT AVE,,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,12TH ST,CHESTNUT AVE,,,"(30.2743607, -97.7159805)",30.2743607,-97.7159805
11_1562081285,11,LAMAR BLVD / ST JOHNS AVE,,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,LAMAR BLVD,ST JOHNS AVE,,,"(30.339407, -97.7178421)",30.339407,-97.7178421
840_1562081285,840,11TH ST / NAVASOTA ST (Rosewood Ave),,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,11TH ST,NAVASOTA ST,,,"(30.2683887, -97.7269135)",30.2683887,-97.7269135
480_1562081285,480,RUNDBERG LN / PARKFIELD DR,,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,RUNDBERG LN,PARKFIELD DR,,,"(30.3674049, -97.7062454)",30.3674049,-97.7062454
316_1562081285,316,5TH ST / SAN JACINTO BLVD,,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,5TH ST,SAN JACINTO BLVD,,,"(30.2664375, -97.7407303)",30.2664375,-97.7407303
963_1562081285,963,ROSS RD / SAINT THOMAS DR,,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,ROSS RD,SAINT THOMAS DR,,,"(30.1783047, -97.6151962)",30.1783047,-97.6151962
114_1562081285,114,38TH ST / MEDICAL PKWY,,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,38TH ST,MEDICAL PKWY,,,"(30.3057194, -97.7441483)",30.3057194,-97.7441483
153_1562081285,153,GUADALUPE ST / 2ND ST,,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,GUADALUPE ST,2ND ST,,,"(30.2652874, -97.747673)",30.2652874,-97.747673
288_1562081285,288,LAVACA ST / 4TH ST,,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,LAVACA ST,4TH ST,,,"(30.2668762, -97.7458725)",30.2668762,-97.7458725
301_1562081285,301,6TH ST / LAVACA ST,,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,6TH ST,LAVACA ST,,,"(30.2687168, -97.7452011)",30.2687168,-97.7452011
326_1562081285,326,COLORADO ST / 2ND ST,,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,COLORADO ST,2ND ST,,,"(30.2646828, -97.7455139)",30.2646828,-97.7455139
742_1562081285,742,COLORADO ST / 3RD ST,,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,COLORADO ST,3RD ST,,,"(30.2656021, -97.7451553)",30.2656021,-97.7451553
799_1562081285,799,PARMER LN / LAKELINE BLVD,,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,PARMER LN,LAKELINE BLVD,,,"(30.4879532, -97.7713318)",30.4879532,-97.7713318
174_1562081285,174,AIRPORT BLVD / LEVANDER LOOP,,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,AIRPORT BLVD,LEVANDER LOOP,,,"(30.2537231, -97.692543)",30.2537231,-97.692543
472_1562081285,472,2ND ST / SAN ANTONIO ST,,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,2ND ST,SAN ANTONIO ST,,,"(30.2655945, -97.7487335)",30.2655945,-97.7487335
959_1562081285,959,COLORADO ST / 4TH ST,,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,COLORADO ST,4TH ST,,,"(30.2665691, -97.744812)",30.2665691,-97.744812
698_1562081285,698,DUVAL RD / JOLLYVILLE RD,,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,DUVAL RD,JOLLYVILLE RD,,,"(30.4172859, -97.7500381)",30.4172859,-97.7500381
864_1562081285,864,ROSS RD / THOME VALLEY DR,,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,ROSS RD,THOME VALLEY DR,,,"(30.1740685, -97.6202011)",30.1740685,-97.6202011
889_1562081285,889,FM 620 RD / BOULDER LN (North),,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,FM 620 RD,BOULDER LN,,,"(30.4434834, -97.8331299)",30.4434834,-97.8331299
75_1562081285,75,US 290 HWY / HUDSON LOOP,,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,US 290 HWY,HUDSON LOOP,,,"(30.2295156, -97.89159663)",30.2295156,-97.89159663
4027_1562081285,4027,400 BLK S CONGRESS AVE (Texas School for the Deaf),,07/02/2019 03:26:24 PM +0000,07/02/2019 03:28:05 PM +0000,3,0,CONGRESS AVE,,,,"(30.253627, -97.748178)",30.253627,-97.748178
885_1562085245,885,MANCHACA RD / RAVENSCROFT DR,,07/02/2019 04:32:39 PM +0000,07/02/2019 04:34:05 PM +0000,3,20,MANCHACA RD,RAVENSCROFT DR,,,"(30.1571236, -97.8333054)",30.1571236,-97.8333054
846_1562091724,846,GREAT HILLS TRL / RAIN CREEK PKWY,,07/02/2019 06:20:09 PM +0000,07/02/2019 06:22:04 PM +0000,3,20,GREAT HILLS TRL,RAIN CREEK PKWY,,,"(30.3948116, -97.7546844)",30.3948116,-97.7546844
4050_1562094966,4050,QUINLAN PARK RD / CANYON GLEN DR,,07/02/2019 03:26:24 PM +0000,07/02/2019 07:16:06 PM +0000,3,0,QUINLAN PARK RD,CANYON GLEN DR,,,"(30.380762, -97.884765)",30.380762,-97.884765
292_1562094966,292,7TH ST / COLORADO ST,,07/02/2019 03:26:24 PM +0000,07/02/2019 07:16:06 PM +0000,3,0,7TH ST,COLORADO ST,,,"(30.2693481, -97.7437744)",30.2693481,-97.7437744
154_1562094966,154,LAVACA ST / 2ND ST,,07/02/2019 03:26:24 PM +0000,07/02/2019 07:16:06 PM +0000,3,0,LAVACA ST,2ND ST,,,"(30.2649975, -97.7465897)",30.2649975,-97.7465897
332_1562094966,332,LAVACA ST / 3RD ST,,07/02/2019 03:26:24 PM +0000,07/02/2019 07:16:06 PM +0000,3,0,LAVACA ST,3RD ST,,,"(30.2659302, -97.7462463)",30.2659302,-97.7462463
429_1562512281,429,1ST ST / DITTMAR RD,,07/07/2019 01:02:00 PM +0000,07/07/2019 03:11:21 PM +0000,3,21,1ST ST,DITTMAR RD,,,"(30.1838989, -97.7926559)",30.1838989,-97.7926559
4025_1562512281,4025,1ST ST / THELMA DR (Bedichek Middle School),,07/07/2019 01:02:00 PM +0000,07/07/2019 03:11:21 PM +0000,3,254,1ST ST,THELMA DR,,,"(30.1945152, -97.7894363)",30.1945152,-97.7894363
1011_1562512281,1011,1ST ST / TAFT LN,,07/07/2019 01:02:00 PM +0000,07/07/2019 03:11:21 PM +0000,3,254,1ST ST,TAFT LN,,,"(30.1632843, -97.8007126)",30.1632843,-97.8007126
399_1562512281,399,1ST ST / FLOURNOY DR,,07/07/2019 01:02:00 PM +0000,07/07/2019 03:11:21 PM +0000,3,1,1ST ST,FLOURNOY DR,,,"(30.2038345, -97.7838211)",30.2038345,-97.7838211
404_1562512281,404,WILLIAM CANNON DR / 1ST ST,,07/07/2019 01:02:00 PM +0000,07/07/2019 03:11:21 PM +0000,3,0,WILLIAM CANNON DR,1ST ST,,,"(30.1970978, -97.7878189)",30.1970978,-97.7878189
401_1562512281,401,STASSNEY LN / EMERALD FOREST DR,,07/07/2019 01:02:00 PM +0000,07/07/2019 03:11:21 PM +0000,3,1,STASSNEY LN,EMERALD FOREST DR,,,"(30.2106857, -97.7870865)",30.2106857,-97.7870865
252_1562512281,252,11TH ST / COLORADO ST,,07/07/2019 12:05:00 PM +0000,07/07/2019 03:11:21 PM +0000,3,7,11TH ST,COLORADO ST,,,"(30.2732372, -97.7428436)",30.2732372,-97.7428436
155_1562512281,155,CONGRESS AVE / 2ND ST,,07/07/2019 12:05:00 PM +0000,07/07/2019 03:11:21 PM +0000,3,7,CONGRESS AVE,2ND ST,,,"(30.2643204, -97.744194)",30.2643204,-97.744194
328_1562512281,328,CONGRESS AVE / 3RD ST,,07/07/2019 12:05:00 PM +0000,07/07/2019 03:11:21 PM +0000,3,7,CONGRESS AVE,3RD ST,,,"(30.2652397, -97.743866)",30.2652397,-97.743866
320_1562512281,320,CONGRESS AVE / 4TH ST,,07/07/2019 12:05:00 PM +0000,07/07/2019 03:11:21 PM +0000,3,7,CONGRESS AVE,4TH ST,,,"(30.2662086, -97.7434998)",30.2662086,-97.7434998
303_1562512281,303,6TH ST / CONGRESS AVE,,07/07/2019 12:05:00 PM +0000,07/07/2019 03:11:21 PM +0000,3,7,6TH ST,CONGRESS AVE,,,"(30.2680664, -97.7428131)",30.2680664,-97.7428131
293_1562512281,293,7TH ST / CONGRESS AVE,,07/07/2019 12:05:00 PM +0000,07/07/2019 03:11:21 PM +0000,3,7,7TH ST,CONGRESS AVE,,,"(30.2689667, -97.7424698)",30.2689667,-97.7424698
284_1562512281,284,8TH ST / CONGRESS AVE,,07/07/2019 12:05:00 PM +0000,07/07/2019 03:11:21 PM +0000,3,7,8TH ST,CONGRESS AVE,,,"(30.2699051, -97.7421112)",30.2699051,-97.7421112
275_1562512281,275,CONGRESS AVE / 9TH ST,,07/07/2019 12:05:00 PM +0000,07/07/2019 03:11:21 PM +0000,3,7,CONGRESS AVE,9TH ST,,,"(30.270853, -97.7417526)",30.270853,-97.7417526
251_1562512281,251,LAVACA ST / 11TH ST,,07/07/2019 12:05:00 PM +0000,07/07/2019 03:11:21 PM +0000,3,7,LAVACA ST,11TH ST,,,"(30.2734089, -97.7434616)",30.2734089,-97.7434616
865_1562512281,865,MC NEIL DR / LOS INDIOS TRL,,07/07/2019 09:05:15 AM +0000,07/07/2019 03:11:21 PM +0000,3,0,MC NEIL DR,LOS INDIOS TRL,,,"(30.4373665, -97.760498)",30.4373665,-97.760498
681_1562512281,681,ESCARPMENT BLVD / SLAUGHTER LN,,07/07/2019 09:05:15 AM +0000,07/07/2019 03:11:21 PM +0000,3,0,ESCARPMENT BLVD,SLAUGHTER LN,,,"(30.2005997, -97.8784256)",30.2005997,-97.8784256
511_1562512281,511,SLAUGHTER LN / BECKETT RD,,07/07/2019 09:05:15 AM +0000,07/07/2019 03:11:21 PM +0000,3,0,SLAUGHTER LN,BECKETT RD,,,"(30.2009087, -97.8708801)",30.2009087,-97.8708801
929_1562512281,929,DEAN KEETON ST / LAFAYETTE AVE,,07/07/2019 09:05:15 AM +0000,07/07/2019 03:11:21 PM +0000,3,0,DEAN KEETON ST,LAFAYETTE AVE,,,"(30.2844238, -97.7218094)",30.2844238,-97.7218094
170_1562512281,170,AIRPORT BLVD / 51ST ST,,07/07/2019 09:05:15 AM +0000,07/07/2019 03:11:21 PM +0000,3,0,AIRPORT BLVD,51ST ST,,,"(30.3120689, -97.7153397)",30.3120689,-97.7153397
